previous_division,current_region,year,estimate
East North Central,Midwest,2010,305332
East North Central,Midwest,2011,308953
East North Central,Midwest,2012,309676
East North Central,Midwest,2013,320091
East North Central,Midwest,2014,350330
East North Central,Midwest,2015,340514
East North Central,Midwest,2016,337519
East North Central,Midwest,2017,314580
East North Central,Midwest,2018,319437
East North Central,Midwest,2019,307933
East North Central,Northeast,2010,77871
East North Central,Northeast,2011,74697
East North Central,Northeast,2012,65945
East North Central,Northeast,2013,69532
East North Central,Northeast,2014,65628
East North Central,Northeast,2015,69870
East North Central,Northeast,2016,75428
East North Central,Northeast,2017,71889
East North Central,Northeast,2018,67214
East North Central,Northeast,2019,68434
East North Central,South,2010,356381
East North Central,South,2011,364995
East North Central,South,2012,361423
East North Central,South,2013,377450
East North Central,South,2014,370967
East North Central,South,2015,390468
East North Central,South,2016,381114
East North Central,South,2017,373591
East North Central,South,2018,356015
East North Central,South,2019,367230
East North Central,West,2010,145625
East North Central,West,2011,161515
East North Central,West,2012,158165
East North Central,West,2013,151752
East North Central,West,2014,168479
East North Central,West,2015,181172
East North Central,West,2016,171153
East North Central,West,2017,179499
East North Central,West,2018,164272
East North Central,West,2019,153562
East South Central,Midwest,2010,69877
East South Central,Midwest,2011,81710
East South Central,Midwest,2012,83249
East South Central,Midwest,2013,78548
East South Central,Midwest,2014,89161
East South Central,Midwest,2015,87208
East South Central,Midwest,2016,91864
East South Central,Midwest,2017,91326
East South Central,Midwest,2018,90155
East South Central,Midwest,2019,86151
East South Central,Northeast,2010,17222
East South Central,Northeast,2011,25266
East South Central,Northeast,2012,18858
East South Central,Northeast,2013,20038
East South Central,Northeast,2014,23352
East South Central,Northeast,2015,19204
East South Central,Northeast,2016,21843
East South Central,Northeast,2017,21033
East South Central,Northeast,2018,21427
East South Central,Northeast,2019,24011
East South Central,South,2010,271232
East South Central,South,2011,275844
East South Central,South,2012,285786
East South Central,South,2013,277378
East South Central,South,2014,279356
East South Central,South,2015,305395
East South Central,South,2016,294507
East South Central,South,2017,272315
East South Central,South,2018,284539
East South Central,South,2019,255458
East South Central,West,2010,45387
East South Central,West,2011,46082
East South Central,West,2012,55111
East South Central,West,2013,51895
East South Central,West,2014,50882
East South Central,West,2015,56347
East South Central,West,2016,55370
East South Central,West,2017,49990
East South Central,West,2018,52404
East South Central,West,2019,50797
Middle Atlantic,Midwest,2010,71902
Middle Atlantic,Midwest,2011,79957
Middle Atlantic,Midwest,2012,79450
Middle Atlantic,Midwest,2013,78687
Middle Atlantic,Midwest,2014,92936
Middle Atlantic,Midwest,2015,88962
Middle Atlantic,Midwest,2016,86873
Middle Atlantic,Midwest,2017,87708
Middle Atlantic,Midwest,2018,91237
Middle Atlantic,Midwest,2019,91922
Middle Atlantic,Northeast,2010,268201
Middle Atlantic,Northeast,2011,273133
Middle Atlantic,Northeast,2012,283579
Middle Atlantic,Northeast,2013,274110
Middle Atlantic,Northeast,2014,277877
Middle Atlantic,Northeast,2015,295912
Middle Atlantic,Northeast,2016,295281
Middle Atlantic,Northeast,2017,310098
Middle Atlantic,Northeast,2018,320032
Middle Atlantic,Northeast,2019,310654
Middle Atlantic,South,2010,336763
Middle Atlantic,South,2011,358619
Middle Atlantic,South,2012,382859
Middle Atlantic,South,2013,382299
Middle Atlantic,South,2014,386644
Middle Atlantic,South,2015,428213
Middle Atlantic,South,2016,413321
Middle Atlantic,South,2017,400766
Middle Atlantic,South,2018,391694
Middle Atlantic,South,2019,397776
Middle Atlantic,West,2010,90055
Middle Atlantic,West,2011,97587
Middle Atlantic,West,2012,116334
Middle Atlantic,West,2013,115958
Middle Atlantic,West,2014,127044
Middle Atlantic,West,2015,126035
Middle Atlantic,West,2016,139283
Middle Atlantic,West,2017,133603
Middle Atlantic,West,2018,127204
Middle Atlantic,West,2019,125741
Mountain,Midwest,2010,104113
Mountain,Midwest,2011,122582
Mountain,Midwest,2012,115126
Mountain,Midwest,2013,113372
Mountain,Midwest,2014,113168
Mountain,Midwest,2015,116938
Mountain,Midwest,2016,118528
Mountain,Midwest,2017,111365
Mountain,Midwest,2018,122950
Mountain,Midwest,2019,113557
Mountain,Northeast,2010,39678
Mountain,Northeast,2011,40241
Mountain,Northeast,2012,40032
Mountain,Northeast,2013,38834
Mountain,Northeast,2014,43234
Mountain,Northeast,2015,42659
Mountain,Northeast,2016,39400
Mountain,Northeast,2017,41251
Mountain,Northeast,2018,42023
Mountain,Northeast,2019,40114
Mountain,South,2010,177371
Mountain,South,2011,191236
Mountain,South,2012,202279
Mountain,South,2013,209295
Mountain,South,2014,204701
Mountain,South,2015,203486
Mountain,South,2016,200733
Mountain,South,2017,210821
Mountain,South,2018,220583
Mountain,South,2019,233172
Mountain,West,2010,348792
